Unnamed: 0.1,Unnamed: 0,label,text,annotation_1,annotation_2,annotation_3,majority_vote,human_rationales
34,30517,0,“ مشي حالك ” . طاقم العمل فقط . الفندق يوجد صيانه في اكثر الغرف نع ازعاج دائم من قبل المقاول,"['الفندق', 'يوجد', 'صيانه', 'في', 'اكثر', 'الغرف', 'نع', 'ازعاج', 'دائم', 'من', 'قبل', 'المقاول']","['مشي', 'حالك']","['ازعاج', 'دائم']","['دائم', 'ازعاج']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
35,47727,0,مخيب للأمل . . العمال البنقاليه يفتحون الغرفه بدون اذن النزيلوسبق ان فتحو الغرفه ع اطفالي بدون اذن وتم تنبيه الاستقبال,"['.', 'العمال', 'البنقاليه', 'يفتحون', 'الغرفه', 'بدون', 'اذن']","['مخيب', 'للأمل']","['مخيب', 'للأمل', 'العمال', 'البنقاليه', 'يفتحون', 'الغرفه', 'بدون', 'اذن']","['العمال', 'البنقاليه', 'بدون', 'اذن', 'الغرفه', 'يفتحون', 'للأمل', 'مخيب']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
36,55045,0,“ اقامه لن تتكرر أبدا لو بالمجان ” . لا شيء . مرافق الغرفه متسخه الفرش و الموكيت و غير مزوده بمايكرويف ولا هيتر و الغلاي الخاص بالماء صديء رائحة دورة المياه في غرفة النوم كريهه الاناره كئيبه الموقع بعيد جدا عن المواقع السياحيه . تجربه سيئه جدا,"['مرافق', 'الغرفه', 'متسخه', 'الفرش', 'و', 'الموكيت', 'و', 'غير', 'مزوده', 'بمايكرويف', 'ولا', 'هيتر', 'و', 'الغلاي', 'الخاص', 'بالماء', 'صديء', 'رائحة', 'دورة', 'المياه', 'في', 'غرفة', 'النوم', 'كريهه', 'الاناره', 'كئيبه', 'الموقع', 'بعيد', 'جدا', 'عن', 'المواقع', 'السياحيه']","['تجربه', 'سيئه', 'جدا']","['اقامه', 'لن', 'تتكرر', 'أبدا', 'الغرفه', 'متسخه', 'الفرش', 'غير', 'مزوده', 'بمايكرويف', 'الغلاي', 'الخاص', 'بالماء', 'صديء', 'رائحة', 'دورة', 'المياه', 'في', 'غرفة', 'النوم', 'كريهه', 'الاناره', 'كئيبه', 'الموقع', 'بعيد', 'جدا', 'عن', 'المواقع', 'السياحيه', 'تجربه', 'سيئه', 'جدا']","['الخاص', 'دورة', 'الفرش', 'متسخه', 'كريهه', 'الموقع', 'كئيبه', 'الغلاي', 'بعيد', 'النوم', 'المواقع', 'في', 'بالماء', 'رائحة', 'السياحيه', 'عن', 'المياه', 'بمايكرويف', 'صديء', 'الاناره', 'جدا', 'غرفة', 'غير', 'الغرفه', 'مزوده', 'سيئه', 'تجربه']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
37,101628,0,“ توهتنا وحجزا ” . الموقع ممتاز . النظافه غير ممتازة,"['النظافه', 'غير', 'ممتازة']","['النظافه', 'غير', 'ممتازة']","['النظافه', 'غير', 'ممتازة']","['غير', 'النظافه', 'ممتازة']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]"
38,4779,0,مخيب للأمل . . الأوتيل كان قديم جدا وغير نظيف كنت حاجزه 3 غرف . غرفه كان غطاء السرير عليه بقع اشتكيت سوو اب قريد لسويت والوضع سئ كمان . اعطيه 3 نجوم او اقل,"['قديم', 'جدا', 'وغير', 'نظيف']","['وغير', 'نظيف']","['مخيب', 'للأمل', 'الأوتيل', 'كان', 'قديم', 'جدا', 'غير', 'نظيف', 'الوضع', 'سئ']","['قديم', 'وغير', 'جدا', 'نظيف']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,65737,0,مخيب للأمل . السرير . موظف الاستقبال,"['السرير', '.', 'موظف', 'الاستقبال']","['مخيب', 'للأمل']","['مخيب', 'للأمل']","['للأمل', 'مخيب']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,31964,0,مخيب للأمل . . سمعته اكبر منه والشاطئ جدا صغير والغرف ليست على البحر,"['الشاطئ', 'جدا', 'صغير', 'والغرف', 'ليست', 'على', 'البحر']","['مخيب', 'للأمل']","['مخيب', 'للأمل', 'الشاطئ', 'جدا', 'صغير', 'الغرف', 'ليست', 'على', 'البحر']","['جدا', 'صغير', 'البحر', 'ليست', 'على', 'الشاطئ', 'للأمل', 'مخيب']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
41,7644,0,مخيب للأمل . النقل من والى الحرم . النظافة وعدم وجود مطبخ ( يوجد فقط غلاية ماء ),"['النظافة', 'وعدم', 'وجود', 'مطبخ']","['مخيب', 'للأمل']","['مخيب', 'للأمل', 'عدم', 'وجود', 'مطبخ']","['وجود', 'مطبخ', 'للأمل', 'مخيب']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
42,66545,0,“ تعامل موظفيهم رديئ لا يصل لمستوى خمس نجوم وخصوصا الأمن لديهم ” . مساحة الفيلا والتكييف والواي فاي . الأمن لديهم شكاك لا يعمل بحرفية ويلبس الثوب وبعضهم لبس الأمن بشكل مقرف ويتعامل معك وأنت معك عائلتك بدون إحترام عكس من يحظر مع صديقته المطعم متواضع جدا بالأكل وكذلك تعامل موظفي المطعم يتغير معك حسب إذا كنت ساكن أم لا المكان ليس بالمستوى المتوقع وكذلك دورات المياه لديهم بالفلل سيئة السباكة والبانيو يهرب مياة من كل مكان النظافة في بعض الأماكن بالفيلا سيئة مثل مجاري الشبابيك فلو تفتح شباك الحمام مثلا تنهال عليك الأتربة ومراوح الشفط مليانه غبار الفندق لا يصل لمستوى خمس نجوم الإهمال من الإدارة واضح والمهم لديهم تحصيل الأموال بأي طريقة .,"['مساحة', 'الفيلا', 'والتكييف', 'والواي', 'فاي', '.', 'الأمن', 'لديهم', 'شكاك', 'لا', 'يعمل', 'بحرفية', 'تعامل', 'موظفي', 'المطعم', 'يتغير', 'معك', 'حسب', 'إذا', 'كنت', 'ساكن', 'أم', 'لا', 'دورات', 'المياه', 'لديهم', 'بالفلل', 'سيئة', 'السباكة', 'والبانيو', 'يهرب', 'مياة', 'من', 'كل', 'مكان', 'النظافة']","['لا', 'يصل', 'لمستوى', 'خمس', 'نجوم']","['تعامل', 'موظفيهم', 'رديئ', 'الأمن', 'لديهم', 'شكاك', 'لا', 'يعمل', 'بحرفية', 'مقرف', 'بدون', 'إحترام', 'سيئة', 'السباكة', 'النظافة', 'في', 'بعض', 'الأماكن', 'بالفيلا', 'سيئة', 'الإهمال']","['النظافة', 'بحرفية', 'شكاك', 'يعمل', 'السباكة', 'لديهم', 'سيئة', 'تعامل', 'الأمن', 'لا']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
43,30340,0,“ لا انصح الاقامه فيه للعائلات ، قد يناسب الشباب فقط ” . . المكان غير نظيف ، الفرشة غير نظيفة الاضاءة ف الشقة سيئة جدا جدا ، خاصه ف الغرف بعض الاغطية ريحتها سجائر الواي فاي كان ضعيف نوعا ما الفطور كان مقبول لكن الادوات كانت مقززة نوعا ما لان بعض الملاعق تلاحظ عليها الصدأ مكان البوفيه اضاءته غير مريحه بالكاد تشوف الاكل ، مثل اضاءة غرف النوم الصفراء,"['المكان', 'غير', 'نظيف', '،', 'الفرشة', 'غير', 'نظيفة', 'الاضاءة', 'ف', 'الشقة', 'سيئة', 'جدا', 'جدا', 'الواي', 'فاي', 'كان', 'ضعيف', 'نوعا', 'بعض', 'الملاعق', 'تلاحظ', 'عليها', 'الصدأ']","['المكان', 'غير', 'نظيف']","['لا', 'انصح', 'الاقامه', 'فيه', 'للعائلات', 'المكان', 'غير', 'نظيف', 'الفرشة', 'غير', 'نظيفة', 'الاضاءة', 'ف', 'الشقة', 'سيئة', 'جدا', 'جداالاغطية', 'ريحتها', 'سجائر', 'الواي', 'فاي', 'كان', 'ضعيف', 'الملاعق', 'تلاحظ', 'عليها', 'الصدأ']","['نظيفة', 'الملاعق', 'عليها', 'ف', 'كان', 'الشقة', 'ضعيف', 'الاضاءة', 'فاي', 'الفرشة', 'المكان', 'نظيف', 'الصدأ', 'سيئة', 'تلاحظ', 'جدا', 'غير', 'الواي']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,60920,0,ضعيف . . رائحة الغرفة كريهة و مخزن الملابس رائحته كريهة الحمام صغير جدا و مجفف الشعر ( السشوار ) لا يعمل و قد يسبب حريق فالغرفه,"['رائحة', 'الغرفة', 'كريهة', 'و', 'مخزن', 'الملابس', 'رائحته', 'كريهة', 'الحمام', 'صغير', 'جدا', 'و', 'مجفف', 'الشعر', 'لا', 'يعمل', 'و', 'قد', 'يسبب', 'حريق']",['ضعيف'],"['ضعيف', 'رائحة', 'الغرفة', 'كريهة', 'مخزن', 'الملابس', 'رائحته', 'كريهة', 'الحمام', 'صغير']","['الحمام', 'مخزن', 'كريهة', 'صغير', 'الملابس', 'رائحة', 'رائحته', 'الغرفة', 'ضعيف']","[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,100242,0,ضعيف جدا . . نااموىس متوحش في كل مكان .,"['نااموىس', 'متوحش']",['نااموىس'],"['ضعيف', 'جدا', 'نااموىس', 'متوحش']","['نااموىس', 'متوحش']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
46,94160,0,ضعيف . لايوجد . السعر غالي جدا بالنسبه لشقق فندقيه والافطار سيء جدا والمواقف لا تتوفر وحجزي كان لغرفتين وصاله لكن للأسف اعطوني غرفتين وصالتين مستقلات التكييف مزعج,"['السعر', 'غالي', 'جدا', 'بالنسبه', 'لشقق', 'فندقيه', 'والافطار', 'سيء', 'جدا', 'والمواقف', 'لا', 'تتوفر']",['ضعيف'],"['ضعيف', 'السعر', 'غالي', 'الافطار', 'سيء', 'التكييف', 'مزعج']","['غالي', 'سيء', 'السعر', 'ضعيف']","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,4635,0,“ عمل ” . ولا شي . الخدمه زباله,"['الخدمه', 'زباله']",['زباله'],"['الخدمه', 'زباله']","['الخدمه', 'زباله']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
48,59068,0,مخيب للأمل . سرعة الإجراءات . صدى الصوت من الغرف المجاورة,"['صدى', 'الصوت', 'من', 'الغرف', 'المجاورة']","['مخيب', 'للأمل', 'صدى', 'الصوت']","['مخيب', 'للأمل', 'صدى', 'الصوت']","['صدى', 'الصوت', 'للأمل', 'مخيب']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,74825,0,مخيب للأمل . هي نومه والسلام . القفل مكسور الحمام صغير غير معقم السرير تعبان المكيف سبليت,"['الحمام', 'صغير', 'غير', 'معقم']","['هي', 'نومه', 'والسلام']","['مخيب', 'للأمل', 'القفل', 'مكسور', 'الحمام', 'صغير', 'غير', 'معقم']","['غير', 'صغير', 'الحمام', 'معقم']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
50,48849,1,“ انصح به بشده ” . كل شئ ممتاز . لا شئ,"['كل', 'شئ', 'ممتاز']","['كل', 'شئ', 'ممتاز']","['انصح', 'به', 'كل', 'شئ', 'ممتاز']","['كل', 'شئ', 'ممتاز']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
51,75720,1,“ جيد جدا ” . السعر مبالغ فيه . النظافة وفساحة الغرف,"['النظافة', 'وفساحة', 'الغرف']","['النظافة', 'وفساحة', 'الغرف']","['جيد', 'جدا', 'النظافة', 'فساحة', 'الغرف']","['الغرف', 'وفساحة', 'النظافة']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,97417,1,“ اجازة قصيره ” . موقع الفندق و تعاون موظفي الاستقبال .,"['موقع', 'الفندق', 'و', 'تعاون', 'موظفي', 'الاستقبال']","['تعاون', 'موظفي']","['تعاون', 'موظفي', 'الاستقبال']","['موظفي', 'تعاون', 'الاستقبال']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
53,10844,1,“ رحلة جميلة وموقع الفندق كان سبب رئيسي ” . كل شي كان جميل الموقع المرافق سهولة الحركة والوصول الى الجي بي ار ومارينا .,"['كل', 'شي', 'كان', 'جميل', 'سهولة', 'الحركة', 'والوصول']","['كل', 'شي', 'كان', 'جميل']","['رحلة', 'جميلة', 'كل', 'شي', 'كان', 'جميل', 'الموقع', 'المرافق', 'سهولة', 'الحركة']","['جميل', 'سهولة', 'كان', 'كل', 'الحركة', 'شي']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,68050,1,“ الراحة ” . نظيفة ، يوجد بها نصف مطبخ ، عازل صوت ، بلكونه ، مواقف ، قريبة من برج خليفة ودبي مول ، جميلة للعوائل . حجزي لغرفة على برج خليفة ولكن لم يتم منحي هذة الغرفة ، المنطقة في بداية عمران ولكن لا يوجد صوت داخل الغرفة,"['نظيفة', '،', 'يوجد', 'بها', 'نصف', 'مطبخ', '،', 'عازل', 'صوت', '،', 'بلكونه', '،', 'مواقف', '،', 'قريبة', 'من', 'برج', 'خليفة', 'ودبي', 'مول', '،', 'جميلة', 'للعوائل']",['الراحة'],"['الراحة', 'نظيفة', 'عازل', 'صوت', 'قريبة', 'من', 'برج', 'خليفة', 'ودبي', 'مول', 'جميلة', 'للعوائل']","['عازل', 'قريبة', 'نظيفة', 'مول', 'ودبي', 'للعوائل', 'صوت', 'جميلة', 'برج', 'خليفة', 'من', 'الراحة']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
55,62996,1,“ كانت إقامة ممتعة وسأقوم بتكرار الزيارة مرة أخرى بإذن الله ” . روعة تصميم المكان والخصوصية العالية المتوفرة ومستوى النظافة الرفيع والهدوء وتوفر ألعاب الأطفال ، والتعامل الراقي من جميع أفراد طاقم العمل . . كل شيء كان في قمة الروعة,"['روعة', 'تصميم', 'المكان', 'والخصوصية', 'العالية', 'مستوى', 'النظافة', 'الرفيع', 'والهدوء', 'وتوفر', 'ألعاب', 'الأطفال', 'التعامل', 'الراقي', 'من', 'جميع', 'أفراد', 'طاقم', 'العمل']","['إقامة', 'ممتعة']","['إقامة', 'ممتعة', 'سأقوم', 'بتكرار', 'الزيارة', 'روعة', 'تصميم', 'المكان', 'والخصوصية', 'مستوى', 'النظافة', 'الرفيع', 'الهدوء', 'توفر', 'ألعاب', 'الأطفال', 'التعامل', 'الراقي', 'كل', 'شيء', 'كان', 'في', 'قمة', 'الروعة']","['النظافة', 'مستوى', 'الراقي', 'التعامل', 'والخصوصية', 'روعة', 'الأطفال', 'المكان', 'ألعاب', 'تصميم', 'الرفيع', 'إقامة', 'ممتعة']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
56,85069,1,“ العطاس الهاشمي ” . الخدمات ممتاز جدآ .,"['الخدمات', 'ممتاز', 'جدآ']","['قمة', 'الروعة']","['الخدمات', 'ممتاز', 'جدآ', 'كل', 'شيء', 'كان', 'في', 'قمة', 'الروعة']","['جدآ', 'ممتاز', 'الخدمات', 'قمة', 'الروعة']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]"
57,13291,1,“ كانت رحله ممتعه ” . موقع الفندق بين الشارقه ودبي .,"['موقع', 'الفندق', 'بين', 'الشارقه', 'ودبي']","['رحله', 'ممتعه']","['كانت', 'رحله', 'ممتعه']","['رحله', 'ممتعه']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
58,66430,1,استثنائي . صراحه الموقع جدا هادي والفندق انصح فيه للعوائل ونظيف واستاف جدا رائع والنظافه ممتازه الفندق راح ارجع له باذن الله . لا شيء,"['الموقع', 'جدا', 'هادي', 'نظيف', 'واستاف', 'جدا', 'رائع', 'والنظافه', 'ممتازه']","['ممتازه', 'الفندق']","['استثنائي', 'الموقع', 'جدا', 'هادي', 'نظيف', 'جدا', 'رائع', 'والنظافه', 'ممتازه', 'الفندق', 'راح', 'ارجع', 'له']","['جدا', 'رائع', 'والنظافه', 'هادي', 'ممتازه', 'الموقع', 'نظيف', 'الفندق']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,33671,1,رائع . الخدمات الطعام . لاشيئ,"['الخدمات', 'الطعام']","['الخدمات', 'الطعام']","['رائع', 'الخدمات', 'الطعام']","['الطعام', 'الخدمات']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,64085,1,جيد . الهدوء والموقع والفطور . تخطيط الشقه سيئ وموقع التلفزيون ماله داعي,"['الهدوء', 'والموقع', 'والفطور']",['الهدوء'],"['جيد', 'الهدوء', 'الموقع', 'الفطور']",['الهدوء'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,102473,1,“ والد اواستوريا مذهل ” . الخدمة جدا ممتازة . بعض الصراخ الصادر من نزلاء الفندق في المسبح مساء,"['الخدمة', 'جدا', 'ممتازة']","['الخدمة', 'جدا', 'ممتازة']","['الخدمة', 'جدا', 'ممتازة']","['جدا', 'الخدمة', 'ممتازة']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,72449,1,جيد . الموقع ومساحة الشقة والنظافه . نظام تسجيل الخروج بدري شوي ابواب الغرف بدون مفتاح يعني ماتقدر تصكر عليك الغرفه,"['الموقع', 'ومساحة', 'الشقة', 'والنظافه']",['النظافه'],"['جيد', 'الموقع', 'ومساحة', 'الشقة', 'والنظافه']","['والنظافه', 'الشقة', 'الموقع', 'ومساحة']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
63,7983,1,جيد . الفندق جيد ويوجد سوبر ماركت قريبه منه . موظفي الاستقبال سيئينالشك ان بطيئ جدا اكثر من نصف ساعه الموظف كأنه رجل الي مافيه اي مرونه في التعامل,"['الفندق', 'جيد', 'ويوجد', 'سوبر', 'ماركت', 'قريبه', 'منه']","['الفندق', 'جيد']","['جيد', 'الفندق', 'جيد', 'سوبر', 'ماركت', 'قريبه']","['جيد', 'قريبه', 'سوبر', 'ماركت', 'الفندق']","[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,90868,1,جيد . الموقع رائع جدا ولكن يعيبه عدم وجود المناديل داخل الغرف . عدم وجود المناديل داخل الغرف,"['الموقع', 'رائع', 'جدا']","['الموقع', 'رائع', 'جدا']","['جيد', 'الموقع', 'رائع', 'جدا']","['جدا', 'الموقع', 'رائع']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,7794,1,جيد . الهدوءالقرب من الحرموجبة الإفطار . الاستقبال ليس كالمطلوب وخاصة طلب الإيجار مقدما . بالنسبة لمواقف السيارات أحس فيه تلاعب من حراس الأمن . بالنسبة للسعر غالي بالمقارنة بالفنادق التي حول الفندق حيث أخبرني أحد الزملاء أنه استأجر غرفة بأربعة أسرة بمبلغ 400 ريال ومثل غرفتي ب 300 ريال يعني زيادة 150 ريال في كل ليلة .,"['لهدوءالقرب', 'من', 'الحرموجبة', 'الإفطار']",['الهدوء'],"['جيد', 'الهدوء']",['الهدوء'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,5722,1,“ شقق رائعة و خدمة ممتازة ” . . السعر عالي,"['شقق', 'رائعة', 'و', 'خدمة', 'ممتازة']","['شقق', 'رائعة']","['شقق', 'رائعة', 'خدمة', 'ممتازة']","['خدمة', 'ممتازة', 'رائعة', 'شقق']","[0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
67,47393,1,استثنائي . نظافة الغرفة الاستقبال ممتاز خدمات الفندق ممتازة . قوة الواي فاي ضعيفة في الغرفة مع ان الاشارة ممتازة . . اتوقع بسبب الضغط . . اتمنى تقويته في الايام القادمة,"['نظافة', 'الغرفة', 'الاستقبال', 'ممتاز', 'خدمات', 'الفندق', 'ممتازة']",['استثنائي'],"['استثنائي', 'نظافة', 'الغرفة', 'الاستقبال', 'ممتاز', 'خدمات', 'الفندق', 'ممتازة']","['الفندق', 'ممتازة', 'خدمات', 'الغرفة', 'ممتاز', 'نظافة', 'الاستقبال', 'استثنائي']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,23566,1,“ الاقامه الرائعة ” . . السرير صغير الرجاء تكبيير السرير,"['الرجاء', 'تكبيير', 'السرير']","['لاقامه', 'الرائعة']","['الاقامة', 'الرائعة']",['الرائعة'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,83849,1,“ سعره جيد ووجود الخدمات بقربه ” . . الافطار ومكانه ورائحة الممرات بين الغرف وعدم وجود عوازل للصوت,"['الافطار', 'ومكانه']","['سعره', 'جيد']","['سعره', 'جيد', 'وجود', 'الخدمات']","['جيد', 'سعره']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,10813,1,استثنائي . جميل جدا لمن يريد التواجد في الجي بي ار . لا شئ,"['جميل', 'جدا', 'لمن', 'يريد', 'التواجد', 'في', 'الجي', 'بي', 'ار']","['جميل', 'جدا']","['استثنائي', '.', 'جميل', 'جدا']","['جدا', 'جميل']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
